inputs,rating,id,word_length,date
"""As a transportation planner the Uber business service comes in handy.  The issue is that not everything is the same.  Some vehicles are new and some drivers are great then some vehicles are old or drivers get lost.  But this is part of the experience""",4,51,250,2017-05-14
"""I use my cards all over the world and have relied on taxis. My friends were telling me to try Uber so I did. The driver was great. However my payment wasn't accepted. The only customer service is by email which is more annoying than an IVR system. You get a response but you can tell it is either automated with the just the names changed or it is a copy and paste. There is no customer in their service. It's like speaking to a robot. I normally don't work with any company that doesn't have a customer service phone number and display it on their website, but I tried Uber because of the recommendations. After a couple of back and forth emails, they finally asked me to send photocopies of documents which further annoyed me. I probably won't use Uber again. I will take a taxi.""",1,52,781,2016-07-26
"""We used Uber in NYC recently and it was our first experience with the service. Almost all of our drivers over three days were prompt, courteous, and treated us with respect. I don't envy these guys' job, but we certainly appreciated them.""",4,53,238,2017-09-28
"""I will and always have admitted, it's not about loyalty but business. I supported uber in the past because they were getting the job done better than the cab companies. And in a sense they are still more efficient than the dying breed of the cab industry. However there are and will continue to be more rideshare business. Look what Napster did to the music industry and look where Napster is now? Uber has gone down hill for me as this whole rating thing has gotten out of hand. I am on time for my driver, respectful (treating them the way I want to be treated), and despite not liking the tipping I still do it. I don't like the rating as it's pointless. If I give the driver a bad rating legitimately they will and have rated me poorly. Anything less than a 5/5 for a driver is \""wrong\"". So the passenger gets bullied into giving them a perfect score. Then there is this tipping which I have been in the service industry and support it but UBER was all about the no tipping and now if you don't tip enough or worse on time, the driver rates you poorly. Personally, I don't care if a drive likes me or not but when my rating can impact me getting a ride, this is where the problem is.Some examples I dealt with is I had a driver in Montreal who didn't speak English and I did the best I could to communicate in French and so my rating goes down. In Phoenix, my driver was soliciting his private driver business and when I couldn't use his same thing. And most recently in Seattle one driver was so depressing talking about how she has no friends and that she doesn't know Seattle well. I had to end up using my own gps using international Data and yet now I get a bad review. I was scared to give this lady a 4/5 yet alone worse. And I have gained other example.I have supported UBER coming to Calgary and Edmonton, even when they were booted out temporarily. Now that I live near Vancouver, I was supporting them coming there as well. Now, I'm starting to change my mind.My point is now I'm considering going with other options including the awkward hailing of a cab! Regardless, ride sharing will continue to grow, the question is, will UBER be a part of this or eventually not exist like Napster, being just another company that started a trend?FYI they make it hard for you to contact them with complaints unless you say you were in an accident.""",1,54,2351,2017-09-25
"""My issue with Uber is they quote you a price when you complete your trip and days later the price is different. They don't tell you anything. I started using one card just for them that is how I found out and if you check your receipt it's says wait time or toll surcharge and fees. This is robbery and they need to stop. The drivers are saying they arrive and most of the time they are in the wrong place or they drop you off in the wrong place and pretend they did not hear you say no it's over there. That's stealing.""",1,55,520,2018-09-15
"""I have a disability which limits my walking. I can't drive due to severe nerve damage and uncontrollable reflexes. The closest store to me is a Family Dollar which is .02 miles from my house. The cost for me to Uber there is $6.50-$7.50. Along with all other companies promising cheaper pricing to make conveniences more affordable is yet another lie. After putting Taxi Cab Services out of business, rates skyrocketed. I can't say how so very disappointed I am with Uber. I have an upcoming surgery which I pray will be a success. I would love to be an advocate for anyone having to utilize transportation services due to no available bus routes so they may travel when needed at a fair price. I use to take Uber to work, the last two years I've paid a private driver to transport me to work, which is cheaper than Uber (12.4) miles 5 days a week. I haven't been able to work in the last 27 days and would appreciate the use of affordable transportation.""",1,56,955,2018-10-11
"""Uber was charge my credit card for a ride that I never booked. I was sitting in home and a Uber driver called somewhere in MN saying that he is waiting for me. So surprise and I told him that I never want any ride, he hung up and I received an email that Uber charge me for cancel the service. That is a setup somewhere to steal my money. I got credit to my next ride, but not to my credit card. Shame on you, Uber.""",1,57,415,2018-06-03
"""Uber app is just too fast to be good.Cab bookings are misfired .even when a user is just exploring the app and is not really ready to book a ride. we get a call from the cab driver. Cab rides get booked even before you could select your destination. Then the cab drivers informs you to cancel that ride (which you anyways did not actually intend to book). If you fail to cancel within 15 minutes, you have to pay a cancellation charge (gets added to your next ride) _x000D_Uber app must have a \""confirm\"" button so that the ride is booked only after that confirmation""",3,58,566,2016-04-20
"""not too friendly. not a good source of money. no respect. a definite \""no\"".""",1,59,74,2016-02-18
"""I just spent 45 minutes of my life trying to simply update password and my 'Home' information on the Uber phone App. What an absolute joke._x000D_I was in a hurry to get somewhere and made the huge mistake of trying to give this company another chance... all they managed to do was to waste my time._x000D_Save time, money and frustration... use Fasten, Lyft or anybody else. This company just needs to close!""",1,60,409,2017-07-09
"""Cheaper and nicer than taken cabs, have met some nice people. A lot of their drivers are very friendly and helpful. The savings alone are worth it because I don't drink and drive and normal cab fee is $50.""",5,61,205,2019-03-18
"""On Sunday I booked an Uber from Ghatkopar to Vasai at 9 pm. The Uber driver's name was Anand, white wagon R. He arrived on time. When he arrived he asked me where the drop was. I told him it was Vasai so he said he couldn't travel that far because he stays in Panvel and needs to go home. I asked him why did he take the booking then he said he didn't know the drop location. Then I was stern that I will not cancel the booking so he said that someone was unwell at his home so he had to go urgently (I know he was lying). """,1,62,523,2018-10-09
"""The first (and last) time I ever used Uber, the fare estimate was $61. When I logged on to book a car, I got a screen that looked like upgrade options, the lowest of which was $89. There was an option to \""Skip this Step\"" so I did. I never got a screen telling me my total or asking me if I agreed to book it or not. Just that the car was on its way. The car that arrived was a huge SUV that could probably seat at least 8 people (I was alone and had one small piece of luggage and a backpack), and when I looked at the receipt later, I saw that they charged me $150 for this unnecessarily huge vehicle. When I wrote them about it they claimed I submitted a different destination location, which is entirely untrue. And they were so cold as to not even give me a break as a 1st time user, refunding at least some of that outrageous total. Terrible company in my experience.""",1,63,872,2018-07-21
"""Twice I have tried to set up an Uber account, most recently 2 days ago._x000D_That took 2+ hours._x000D_When I contacted uber for a ride, the user name and password were not recognized. Clicking the link to reset the password, it took Uber nearly 3 hours to respond and with no link to reset the password._x000D_The company is undependable and not user friendly, especially if one will not use Facebook._x000D_As of more than 12 hours later, there is still no link to reset the password._x000D_Forget even trying to get a live body on the phone.""",1,64,545,2015-08-01
"""I've been using Uber regularly for about a year now. I have had only positive experiences so far, except for one instance when a driver tried to scam me. She accepted my request, and a minute or so later, the app status suddenly changed to \""on trip.\"" I thought this was very strange and assumed perhaps there was a glitch or maybe the driver had accidentally hit the wrong button, so I canceled and requested again. I was connected to the same driver, but surely enough the app said I was on my way after a few moments. Again, I wanted to give my driver the benefit of the doubt and I chalked it up to the fact that I haven't updated Uber yet. However, I noticed that her car was starting to move along the route toward my destination. Interesting. I thought maybe she was trying to turn somewhere, but she just kept going, and it became clear that she was going to take me where I wanted to go without me in the car at all.""",4,65,924,2016-04-26
"""Since February of 2016, I've been using Uber on behalf of the company I work for to schedule rides for our clients coming into town. I've probably spent close to $1500 in gift cards alone since then. I've never had a problem until yesterday. After two company cards, a PayPal account, and multiple attempts to pay through the app and the Mac, I could not get their system to accept a payment. I confirmed with my bank, that the issue is not the card. In fact, the bank is holding these transactions. But Uber doesn't have a record of them.""",1,66,539,2018-09-13
"""Thrifty for short trips when you have limited time and no car. Longer distances can be pricey and I generally like cheaper bus or rail if available. Or sometimes you can rent a car for a day for $15 or less.""",4,67,207,2019-03-16
"""Depending on the location you can get a wide range of Customer service when it comes to drivers. My experience has basically been a good one. Places like San Diego seem to have a lot nicer more laid back attitude, mostly students making money. Other places like downtown Los Angeles and most airports have unfriendly drivers where they let you know, they are just there to drive, no help with luggage, no chit chat.""",4,68,415,2019-03-17
"""I usually don't use Uber but I went away and had no one to take me. I had a Uber gift card but not enough money for both ways. Instead of using the balance on the gift card and charging the rest to my regular card, they did not bother to charge my gift card. They refuse to give me a refund. Customer service is the absolute worst because there is absolutely no number to call. It is by email only. This company is ridiculous and I would find another company to use.""",1,69,466,2019-06-24
"""Anti gay bully,  told me,  faggot fck ur self with mcd frappe u loser faggots should die. If uber ever sends him to better find a request another driver""",1,70,152,2017-04-23
"""I tried to tip a driver and was locked out of my account. Customer support sent me an email making all kinds of techy demands that I am unable to do on my phone. I do most of my UBER stuff on my Mac. There is no way to have a conversation and the one way edicts demanding that this, that and the other thing be done is just toooo \""Big Brother-ish\"". Seriously these tech companies s--k and seem to demand that we acquiesce to their demands. They make all kinds of profits from their drivers who are contracted and their customers who have no accountability - they get rich off of us creating the parameters of the \""market!\"" UBER is just another company that makes billions off the backs of the poor especially contracted workers.""",1,71,728,2019-01-28
"""I've been a uber driver since last year, and I just had worst experience ever. They had put an hourly incentive from 8/19 Friday up to 8/21, 10:00 pm to 12:00 mn for $20 per hour, and 12:00 am to 2:00 am for $22 per hour. They had a link once you click opt in, there's nothing you need to do to have that hourly guarantee. So I tried it and made sure I covered that time now the night of the 8/20. Guess what? They didn't pay me for the difference, they only paid $52.95 which supposed to be minimum of $84, plus what I made before 10:00 pm. They keep on saying I didn't know there was an hourly guarantee which is bunch of **!!! Told them to fix and they never paid me. Watch out drivers! I didn't sleep until 2 am just to get this guarantee only finding out they won't pay me. Whoever is doing uber, quit and join Lyft hopefully is better. If we can get together and boycott uber!!!! We're working hard with our car, gas, mileage for what? For a $3.20 trip? You spend more than what you should earning.""",1,72,1004,2016-08-27
"""NEVER RIDE WITH UBER, on new years day me and Jess rode home with Uber, it is not the pricing that upset us, its the fact that the beyond rude driver hit my brothers car on the way down from my drive way. After contacting Uber with images of the damage and feedback of the experience they refuse to help us in any way. Never have i been in contact with such rude people, looks like I'm back with taxis.""",1,73,402,2016-01-04
"""Really worst experience with Uber cab service. Last week I booked a ride & driver started trip without picking me. Finally after some time when I called him, he told me that he can't come & it was medical emergency.""",1,74,215,2016-12-06
"""My 13 year old child was able to independently create an account and be provided services. It is against the law and supposedly the company rules of service unaccompanied minors. This happened in the past with my daughter. It is scary for me as a mom and hope the company will modify their registration process to ensure that clients are 18 and over or have parental consent to waive that requirement. So sad.""",1,75,409,2017-06-24
"""After continuously reminding that i was charged more by the driver i have not yet got refund nor yet any customer executive is assigned to this matter. It's been four days. I have not received any mail regarding it. It's really difficult to contact Uber as there is no direct call center for customers complaints. We just have to write on Uber help or support but dont get any response from them. I know writing here also will not sort my issue but it's just ridiculous.""",2,76,470,2019-05-16
"""I have been driving for 3 months. Blocked for no set reason. They say my rating dropped. But did not explain how. I have 116 five star ratings. 94 percent acceptance rate. But won't tell me why my rating dropped. I experienced technical difficulties on reception. Had to cancel riders because navigation crashed. You do not get as much as advertised and some rides are 20 minutes away.""",1,77,385,2018-03-18
